impl,exp_id,profile,rep,tx,rx,loss,loss_pct,lat_avg_us,lat_p99_us,lat_max_us,jitter_us
l2fwd,20260619_123743,steady_64b,1,267857145,272495447,-4638302,-1.7316,26.0,10000,178,25
l2fwd,20260619_123743,steady_64b,2,267857144,272515704,-4658560,-1.7392,29.0,10000,187,11
l2fwd,20260619_123743,steady_64b,3,267857140,272450838,-4593698,-1.715,411.0,10000,216,26
l2fwd,20260619_123743,steady_64b,4,267857144,270415382,-2558238,-0.9551,21.0,8000,32,8
l2fwd,20260619_123743,steady_64b,5,267857150,267655801,201349,0.0752,18.0,30,38,3
l2fwd,20260619_123743,bursty_64b,1,2048060001,586864471,1461195530,71.3453,68.0,600,107,4
l2fwd,20260619_123743,bursty_64b,2,2048060001,610997611,1437062390,70.167,56.0,600,107,8
l2fwd,20260619_123743,bursty_64b,3,2048060001,593761369,1454298632,71.0086,56.0,600,107,2
l2fwd,20260619_123743,bursty_64b,4,2048060001,617011052,1431048949,69.8734,57.0,600,107,3
l2fwd,20260619_123743,bursty_64b,5,2048060001,93,2048059908,100.0,0.0,,0,0
