impl,exp_id,profile,rep,tx,rx,loss,loss_pct,lat_avg_us,lat_p99_us,lat_max_us,jitter_us
l2fwd_dr_dual,20260619_154858,steady_64b,1,267856911,267489074,367837,0.1373,17.0,20,28,4
l2fwd_dr_dual,20260619_154858,steady_64b,2,267856911,267687337,169574,0.0633,18.0,20,31,2
l2fwd_dr_dual,20260619_154858,steady_64b,3,267856911,267378165,478746,0.1787,19.0,30,31,4
l2fwd_dr_dual,20260619_154858,steady_64b,4,267856911,267654562,202349,0.0755,21.0,30,31,4
l2fwd_dr_dual,20260619_154858,steady_64b,5,267856911,267408524,448387,0.1674,20.0,20,32,2
l2fwd_dr_dual,20260619_154858,bursty_64b,1,2048060000,615416084,1432643916,69.9513,57.0,500,233,6
l2fwd_dr_dual,20260619_154858,bursty_64b,2,2048060000,635349351,1412710649,68.978,74.0,500,4687,2
l2fwd_dr_dual,20260619_154858,bursty_64b,3,2048060000,595213766,1452846234,70.9377,57.0,500,107,3
l2fwd_dr_dual,20260619_154858,bursty_64b,4,2048060000,580729323,1467330677,71.6449,56.0,500,105,3
l2fwd_dr_dual,20260619_154858,bursty_64b,5,2048060000,88,2048059912,100.0,0.0,,0,0
