impl,exp_id,profile,rep,tx,rx,loss,loss_pct,lat_avg_us,lat_p99_us,lat_max_us,jitter_us
l2fwd_dr_dual_nw,20260619_153239,steady_64b,1,267856911,267683318,173593,0.0648,20.0,30,35,5
l2fwd_dr_dual_nw,20260619_153239,steady_64b,2,267856911,267485134,371777,0.1388,19.0,30,30,6
l2fwd_dr_dual_nw,20260619_153239,steady_64b,3,267856911,267531140,325771,0.1216,18.0,30,29,6
l2fwd_dr_dual_nw,20260619_153239,steady_64b,4,267856911,267507024,349887,0.1306,16.0,20,30,3
l2fwd_dr_dual_nw,20260619_153239,steady_64b,5,267856911,267356860,500051,0.1867,20.0,30,33,3
l2fwd_dr_dual_nw,20260619_153239,bursty_64b,1,2048060000,592604227,1455455773,71.0651,57.0,500,863,3
l2fwd_dr_dual_nw,20260619_153239,bursty_64b,2,2048060000,595361840,1452698160,70.9304,61.0,500,107,3
l2fwd_dr_dual_nw,20260619_153239,bursty_64b,3,2048060000,629157810,1418902190,69.2803,57.0,500,107,5
l2fwd_dr_dual_nw,20260619_153239,bursty_64b,4,2048060000,613155956,1434904044,70.0616,57.0,500,260,8
l2fwd_dr_dual_nw,20260619_153239,bursty_64b,5,2048060000,91,2048059909,100.0,0.0,,0,0
