impl,exp_id,profile,rep,tx,rx,loss,loss_pct,lat_avg_us,lat_p99_us,lat_max_us,jitter_us
l2fwd_dr_small,20260619_142355,steady_64b,1,267857183,267605462,251721,0.094,19.0,30,31,3
l2fwd_dr_small,20260619_142355,steady_64b,2,267857183,267644242,212941,0.0795,21.0,30,35,5
l2fwd_dr_small,20260619_142355,steady_64b,3,267857183,267694814,162369,0.0606,18.0,30,32,3
l2fwd_dr_small,20260619_142355,steady_64b,4,267857183,267603939,253244,0.0945,15.0,20,24,2
l2fwd_dr_small,20260619_142355,steady_64b,5,267857183,267652914,204269,0.0763,19.0,20,33,4
l2fwd_dr_small,20260619_142355,bursty_64b,1,2048060000,594386777,1453673223,70.9781,56.0,500,106,3
l2fwd_dr_small,20260619_142355,bursty_64b,2,2048060000,615194927,1432865073,69.9621,57.0,500,141,2
l2fwd_dr_small,20260619_142355,bursty_64b,3,2048060000,584254715,1463805285,71.4728,56.0,500,107,2
l2fwd_dr_small,20260619_142355,bursty_64b,4,2048060000,630051564,1418008436,69.2367,56.0,500,107,3
l2fwd_dr_small,20260619_142355,bursty_64b,5,2048060000,91,2048059909,100.0,0.0,,0,0
